motor,pwm,t_ms,count_acumulado,delta_count,vel_rad_s
E,150,0,0,0,0.000000
E,150,20,0,0,0.000000
E,150,40,0,0,0.000000
E,150,60,0,0,0.000000
E,150,80,0,0,0.000000
E,150,100,0,0,0.000000
E,150,120,0,0,0.000000
E,150,140,0,0,0.000000
E,150,160,0,0,0.000000
E,150,180,0,0,0.000000
E,150,201,0,0,0.000000
E,150,220,0,0,0.000000
E,150,240,0,0,0.000000
E,150,260,0,0,0.000000
E,150,280,0,0,0.000000
E,150,300,0,0,0.000000
E,150,325,0,0,0.000000
E,150,350,0,0,0.000000
E,150,375,0,0,0.000000
E,150,400,0,0,0.000000
E,150,425,0,0,0.000000
E,150,449,0,0,0.000000
E,150,475,0,0,0.000000
E,150,500,0,0,0.000000
E,150,525,0,0,0.000000
E,150,550,0,0,0.000000
E,150,574,0,0,0.000000
E,155,0,0,0,0.000000
E,155,20,0,0,0.000000
E,155,40,0,0,0.000000
E,155,60,0,0,0.000000
E,155,81,0,0,0.000000
E,155,100,0,0,0.000000
E,155,120,0,0,0.000000
E,155,140,0,0,0.000000
E,155,160,0,0,0.000000
E,155,180,0,0,0.000000
E,155,200,0,0,0.000000
E,155,220,0,0,0.000000
E,155,240,0,0,0.000000
E,155,260,0,0,0.000000
E,155,280,0,0,0.000000
E,155,301,0,0,0.000000
E,155,325,0,0,0.000000
E,155,351,0,0,0.000000
E,155,375,0,0,0.000000
E,155,400,0,0,0.000000
E,155,426,0,0,0.000000
E,155,450,0,0,0.000000
E,155,476,0,0,0.000000
E,155,500,0,0,0.000000
E,155,525,0,0,0.000000
E,155,551,0,0,0.000000
E,155,575,0,0,0.000000
E,160,0,0,0,0.000000
E,160,20,0,0,0.000000
E,160,40,0,0,0.000000
E,160,60,0,0,0.000000
E,160,80,0,0,0.000000
E,160,100,0,0,0.000000
E,160,120,0,0,0.000000
E,160,140,0,0,0.000000
E,160,160,0,0,0.000000
E,160,180,0,0,0.000000
E,160,200,0,0,0.000000
E,160,220,0,0,0.000000
E,160,240,0,0,0.000000
E,160,260,0,0,0.000000
